"UG"	"NOME_UG"	"ICFEX"	"NOME_ICFEX"	"PROGRAMA"	"NOME_PROGRAMA"	"ACAO"	"NOME_ACAO"	"UGR"	"NOME_UGR"	"PTRES"	"FONTE"	"NOME_FONTE"	"PI"	"NOME_PI"	"ND"	"NOME_ND"	"NE"	"DATA"	"FAV"	"NOME_FAV"	"OBS"	"RP"	"NOME_RP"	"PO"	"NOME_PO"	"NOME_UO"	"UO"	"INSC"	"INSCEMLIQ"	"REINSC"	"REINSCEMLIQ"	"BLOQALIQ"	"BLOQEMLIQ"	"ALIQ"	"EMLIQ"	"APAG"	"PAGO"	"CANC"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACNTARCO"	"MNT DE AR CONDICIONADO"	"339039"	"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA"	"2021NE00037320"	"2021-11-30"	"00696483000100"	"DIAMANTINA COMERCIO E SERVICOS EIRELI"	"7ºCTA1600732021NC016386 7ºCTA1600732021NC016387 ATENDE PARTE REQUISITORIA 063-SECLCTCCONTR/DA/7ºCTA, DE 22 DE NOVEMBRO DE 2021, CONTRATACAO DE EMPRESA PARA SERVICO DE LIMPEZA E MANUTENCAO DE AR-CONDICIONADOS, DISPENSA ELETRONICA 070/2021, NOTA DE CREDITO 2021NC016386 E 2021NC016387."	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"15215,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"15215,0"	"0,0"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACNTLICO"	"LIMPEZA DE BENS IMOVEIS"	"339037"	"LOCACAO DE MAO-DE-OBRA"	"2021NE00011602"	"2021-05-24"	"38054508000145"	"FORTALEZA SERVICOS EMPRESARIAIS EIRELI"	"CITEX1600732021NC008229 ATENDE PARTE REQ 01/2021 DO FISCAL DO CONTRATO 17/2020 DE PR ESTACAO DE SV DE LIMPEZA *FAZENDO USO DO PR 12/2020 ITEM 01**ND 339037/02."	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"28169,59"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"28169,59"	"0,0"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACNTLICO"	"LIMPEZA DE BENS IMOVEIS"	"339037"	"LOCACAO DE MAO-DE-OBRA"	"2021NE00025702"	"2021-08-31"	"38054508000145"	"FORTALEZA SERVICOS EMPRESARIAIS EIRELI"	"CITEX1600732021NC009061 ATENDE DIEX Nº 88-SALC/DA/CITEX, DE 31 DE AGOSTO DE 2021, CONTRATO 16/2020, PREGAO 12/2020, GERENCIADOR, NOTA DE CREDITO 2021NC009061."	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"85639,01"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"85639,01"	"0,0"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACSPAGES"	"SV DE AGUA E ESGOTO"	"339039"	"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA"	"2020NE80001944"	"2020-02-05"	"00082024000137"	"COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL"	"CITEX1600732020NC001520  INEX ATENDE PARTE REQUISITORIA Nº 001-DA/FA, CONTRATOSERVICO DE FORNECIMENTO DE AGUA E ESGOTO DO CITEX E 7ºCTA.  PROC ORIGEM: 2011IN00001"	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"0,0"	"0,0"	"50166,1"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"50166,1"	"0,0"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACSPCORR"	"SERVICOS POSTAIS"	"339039"	"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA"	"2020NE80037347"	"2020-09-22"	"34028316000707"	"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS"	"CITEX1600732020NC007241  CITEX1600732020NC011625  ATENDE DESPESAS COM CORREIOSINEXIGIBILIDADE 04/2020, UASG 160091, CONFORME DIEX REQUISITORIO Nº02/2020 E  NOTAS DE CREDITOS 2020NC007241 E 2020NC011625.  PROC ORIGEM: 2020IN00004"	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"0,0"	"0,0"	"702,43"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"702,43"	"0,0"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACSPCORR"	"SERVICOS POSTAIS"	"339039"	"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA"	"2021NE00018247"	"2021-07-02"	"34028316000707"	"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS"	"CITEX1600732021NC011871 ATENDE DIEX REQUISITORIO Nº 70-CONTRATOS/DA/CITEX, DE 22 DE JUNHO DE 2021, CONTRATO 11/2020, INEXIGIBILIDADE 11/2020, NOTA DE CREDITO 2021NC011871."	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"500,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"223,17"	"0,0"	"0,0"	"276,83"	"0,0"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACSPCORR"	"SERVICOS POSTAIS"	"339039"	"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA"	"2021NE00018347"	"2021-07-02"	"34028316000707"	"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS"	"CITEX1600732021NC011871 ATENDE DIEX REQUISITORIO Nº 73-CONTRATOS/DA/CITEX, DE 25 DE JUNHO DE 2021, CONTRATO 05/2021, DISPENSA RATIFICADA  80003/2020, NOTA DE CREDITO 2021NC011871."	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"400,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"400,0"	"0,0"	"0,0"	"0,0"	"0,0"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACSPENEL"	"SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA"	"339039"	"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA"	"2021NE00016943"	"2021-06-15"	"07522669000192"	"NEOENERGIA DISTRIBUICAO BRASILIA S.A."	"CITEX1600732021NC007854 E 2021NC010567 DESPESAS COM FORNECIMENTO DE ENERGIA ELETRICA PARA O CITEX E 7ºCTA, CONFORME DESPACHO DO ORDENADOR DE DESPESAS DO CITEX PUBLICADO NO BOLETIM INTERNO NR 108 DE 15/06/2021 E PARTE REQUISITORIA Nº 2-CONTRATOS/DA/CITEX, DE 14 DE JUNHO. ND 339039/43."	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"174,81"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"174,81"	"0,0"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACSPENEL"	"SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA"	"339039"	"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA"	"2021NE00030543"	"2021-10-22"	"07522669000192"	"NEOENERGIA DISTRIBUICAO BRASILIA S.A."	"CITEX1600732021NC016290 ATENDE DIEX REQUISITORIO Nº 33-CONTRATOS/DA/SCH, DE 21DE OUTUBRO DE 2021, PARA PAGAMENTO DE CONTRATO DE FORNECIMENTO DE ENERGIA ELETRICA DO CITEX, NOTA DE CREDITO 2021NC016290."	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"1269000,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"692110,72"	"0,0"	"0,0"	"576889,28"	"0,0"
"160091"	"CENTRO INTEGRADO DE TELEMATICA DO EXERCITO"	"160054"	"11º CGCFEX"	"0032"	"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO"	"20000001"	"ADMINISTRACAO DA UNIDADE              - NACIONAL"	"160073"	"DIRETORIA DE GESTAO ORCAMENTARIA - GESTOR"	"171460"	"0100000000"	"RECURSOS PRIMARIOS DE LIVRE APLICACAO"	"I3DACSPENEL"	"SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA"	"339047"	"OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS"	"2021NE00030622"	"2021-10-22"	"07522669000192"	"NEOENERGIA DISTRIBUICAO BRASILIA S.A."	"FACITEX1600732021NC016290 ATENDE DIEX REQUISITORIO Nº33-CONTRATOS/DA/SCH, DE 21 DE OUTUBRO DE 2021, FISCAL DE CONTRATO DA CEB, PARA PAGAMENTO DE TAXA DE ILUMINACAO PUBLICA NO ENTORNO CITEX, NOTA DE CREDITO 2021NC016290."	"2"	"PRIMARIO DISCRICIONARIO"	"0004"	"MANUTENCAO GERAL"	"COMANDO DO EXERCITO"	"52121"	"12000,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"11027,57"	"0,0"	"0,0"	"972,43"	"0,0"
